ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
32,1882,.081698142,.11470137,.22785041,.1933714,.21179739,.30559754,0,0,0,0,0,,,,.20158279,-.0062539289,-.04092174,.01689841,,,,
32,1883,.033003226,.14615226,.11167325,.13009924,.22389941,.24001367,0,0,0,0,0,0,,,.081698142,.20158279,-.0062539289,-.04092174,,,,
32,1884,.11314904,.078670025,.097096011,.19089618,.20701045,.099582538,0,0,0,0,0,0,0,,.033003226,.081698142,.20158279,-.0062539289,,,,
32,1885,-.034479011,-.016053028,.077747144,.093861416,-.013566494,-.072381914,0,0,0,0,0,0,0,0,.11314904,.033003226,.081698142,.20158279,,,,
32,1886,.018425982,.11222616,.12834042,.020912513,-.037902903,.11975348,0,0,0,0,0,0,0,0,-.034479011,.11314904,.033003226,.081698142,,,,
32,1887,.093800172,.10991444,.0024865344,-.056328882,.10132751,.1377755,0,0,0,0,0,0,0,0,.018425982,-.034479011,.11314904,.033003226,,,,
32,1888,.01611427,-.091313638,-.15012905,.0075273365,.043975323,.1634441,0,1,0,0,0,0,0,0,.093800172,.018425982,-.034479011,.11314904,,,,
32,1889,-.10742791,-.16624333,-.0085869431,.027861044,.14732981,.22774263,0,0,0,0,0,1,0,0,.01611427,.093800172,.018425982,-.034479011,,,,
32,1890,-.058815416,.098840967,.13528895,.25475773,.33517057,.39492413,0,0,0,0,0,0,1,0,-.10742791,.01611427,.093800172,.018425982,,,,
32,1891,.15765639,.19410437,.31357315,.39398599,.45373955,.21450233,0,1,0,0,0,0,0,1,-.058815416,-.10742791,.01611427,.093800172,,,,
32,1892,.036447987,.15591675,.23632957,.29608312,.056845903,.1089536,0,0,0,0,0,1,0,0,.15765639,-.058815416,-.10742791,.01611427,,,,
32,1893,.11946877,.19988158,.25963515,.020397931,.072505631,.20490155,0,0,0,0,0,0,1,0,.036447987,.15765639,-.058815416,-.10742791,,,,
32,1894,.08041282,.14016637,-.099070847,-.046963148,.08543276,-.080818333,0,0,0,0,0,0,0,1,.11946877,.036447987,.15765639,-.058815416,,,,
32,1895,.059753556,-.17948367,-.12737596,.0050199479,-.16123115,-.15949352,0,0,0,0,0,0,0,0,.08041282,.11946877,.036447987,.15765639,,,,
32,1896,-.23923722,-.18712953,-.054733619,-.22098471,-.21924709,-.27750906,0,0,0,0,0,0,0,0,.059753556,.08041282,.11946877,.036447987,,,,
32,1897,.052107699,.18450361,.018252522,.019990142,-.038271822,.05814191,0,0,0,0,0,0,0,0,-.23923722,.059753556,.08041282,.11946877,,,,
