COUNTDUMS,halfyear,f0LNGDP,f1LNGDP,f2LNGDP,f3LNGDP,f4LNGDP,f5LNGDP,f6LNGDP,f7LNGDP,f8LNGDP,f9LNGDP,f10LNGDP,CRISIS,l1LNGDP,l2LNGDP,l3LNGDP,l4LNGDP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
1,41,1275.158471968894,1277.427242316106,1279.304937363869,1280.914078352125,1281.035578794315,1278.749883950787,1277.503315250335,1281.959491173109,1285.381769148905,1287.184241357837,1290.738143230205,0,1274.47075754265,1271.625639733543,1270.484814692609,1268.258509232821,0,0,0,0
1,42,1277.427242316106,1279.304937363869,1280.914078352125,1281.035578794315,1278.749883950787,1277.503315250335,1281.959491173109,1285.381769148905,1287.184241357837,1290.738143230205,1291.907356276156,0,1275.158471968894,1274.47075754265,1271.625639733543,1270.484814692609,0,0,0,0
1,43,1279.304937363869,1280.914078352125,1281.035578794315,1278.749883950787,1277.503315250335,1281.959491173109,1285.381769148905,1287.184241357837,1290.738143230205,1291.907356276156,1292.348207500196,0,1277.427242316106,1275.158471968894,1274.47075754265,1271.625639733543,0,0,0,0
1,44,1280.914078352125,1281.035578794315,1278.749883950787,1277.503315250335,1281.959491173109,1285.381769148905,1287.184241357837,1290.738143230205,1291.907356276156,1292.348207500196,1294.324554014256,0,1279.304937363869,1277.427242316106,1275.158471968894,1274.47075754265,0,0,0,0
1,45,1281.035578794315,1278.749883950787,1277.503315250335,1281.959491173109,1285.381769148905,1287.184241357837,1290.738143230205,1291.907356276156,1292.348207500196,1294.324554014256,1296.881033835724,0,1280.914078352125,1279.304937363869,1277.427242316106,1275.158471968894,0,0,0,0
1,46,1278.749883950787,1277.503315250335,1281.959491173109,1285.381769148905,1287.184241357837,1290.738143230205,1291.907356276156,1292.348207500196,1294.324554014256,1296.881033835724,1300.601468433337,0,1281.035578794315,1280.914078352125,1279.304937363869,1277.427242316106,0,0,0,0
1,47,1277.503315250335,1281.959491173109,1285.381769148905,1287.184241357837,1290.738143230205,1291.907356276156,1292.348207500196,1294.324554014256,1296.881033835724,1300.601468433337,1301.314779515234,0,1278.749883950787,1281.035578794315,1280.914078352125,1279.304937363869,0,0,0,0
1,48,1281.959491173109,1285.381769148905,1287.184241357837,1290.738143230205,1291.907356276156,1292.348207500196,1294.324554014256,1296.881033835724,1300.601468433337,1301.314779515234,1303.457033866001,0,1277.503315250335,1278.749883950787,1281.035578794315,1280.914078352125,0,0,0,0
1,49,1285.381769148905,1287.184241357837,1290.738143230205,1291.907356276156,1292.348207500196,1294.324554014256,1296.881033835724,1300.601468433337,1301.314779515234,1303.457033866001,1306.610126173338,0,1281.959491173109,1277.503315250335,1278.749883950787,1281.035578794315,0,0,0,0
1,50,1287.184241357837,1290.738143230205,1291.907356276156,1292.348207500196,1294.324554014256,1296.881033835724,1300.601468433337,1301.314779515234,1303.457033866001,1306.610126173338,1307.110870386046,0,1285.381769148905,1281.959491173109,1277.503315250335,1278.749883950787,0,0,0,0
1,51,1290.738143230205,1291.907356276156,1292.348207500196,1294.324554014256,1296.881033835724,1300.601468433337,1301.314779515234,1303.457033866001,1306.610126173338,1307.110870386046,1308.069305522464,0,1287.184241357837,1285.381769148905,1281.959491173109,1277.503315250335,0,0,0,0
1,52,1291.907356276156,1292.348207500196,1294.324554014256,1296.881033835724,1300.601468433337,1301.314779515234,1303.457033866001,1306.610126173338,1307.110870386046,1308.069305522464,1308.182845280056,0,1290.738143230205,1287.184241357837,1285.381769148905,1281.959491173109,0,0,0,0
1,53,1292.348207500196,1294.324554014256,1296.881033835724,1300.601468433337,1301.314779515234,1303.457033866001,1306.610126173338,1307.110870386046,1308.069305522464,1308.182845280056,1306.590469213817,0,1291.907356276156,1290.738143230205,1287.184241357837,1285.381769148905,0,0,0,0
1,54,1294.324554014256,1296.881033835724,1300.601468433337,1301.314779515234,1303.457033866001,1306.610126173338,1307.110870386046,1308.069305522464,1308.182845280056,1306.590469213817,1307.132010694346,0,1292.348207500196,1291.907356276156,1290.738143230205,1287.184241357837,0,0,0,0
1,55,1296.881033835724,1300.601468433337,1301.314779515234,1303.457033866001,1306.610126173338,1307.110870386046,1308.069305522464,1308.182845280056,1306.590469213817,1307.132010694346,1308.691404496547,0,1294.324554014256,1292.348207500196,1291.907356276156,1290.738143230205,0,0,0,0
